2,0.324,0.324,0.324,0.463,1.25,1.25,1.25,0.432,0.432,1.359,1.359,1.359,1.359,1.359,1.359,1.359,1.405,0.448,0.448,27.125,27.125,27.125,0.046,1.698,1.698,1.698,1.698,1.698,1.698,1.698,1.436,0.463,0.463,0.463,0.463,0.463,0.463,0.803,1.142,1.142,1.142,1.142,1.142,1.142,1.142,1.158,0.88,0.88,2.347,24.655,24.655,24.655,24.655,1.328,0.695,0.695,0.695,0.695,0.695,0.695,0.154,1.714,0.201,0.201,0.201,0.201,0.201,0.618,1.451,1.451,1.451,1.451,1.451,1.451,1.451,1.451,0.741,0.741,26.044,26.044,26.044,26.044,0.618,1.359,1.359,1.359,1.359,1.359,1.359,1.498,0.54,0.54,0.54,0.54,0.54,0.54
3,6.524,38.924,59.69,7.23,7.23,5.409,5.545,5.355,5.599,5.463,5.491,5.355,6.904,5.491,5.382,5.328,5.355,2.881,32.183,3.669,2.854,2.881,2.881,4.349,4.349,3.262,3.126,3.072,0.979,0.516,0.544,2.283,1.033,1.033,0.544,0.544,3.398,2.936,2.881,5.246,5.328,14.624,9.867,8.807,7.339,17.641,11.824,7.23,7.366,7.339,8.372,10.193,10.03,10.003,9.242,7.285,10.383,9.84,9.024,31.313,21.908,7.285,9.541,61.294,111.362,73.336,73.336,117.75,88.883,116.173,55.776,55.776,63.061,83.066,83.066,48.818,63.333,86.165,59.256,78.554,46.48,50.449,48.6,64.801,14.732,50.014,13.754,13.863,45.692,15.657,14.026,53.765,29.9,37.701,37.701,42.702
4,11.099,9.936,23.223,10.285,16.481,9.548,10.057,10.126,9.259,10.019,9.001,9.016,9.502,10.597,10.171,18.868,10.414,9.73,10.506,14.595,15.546,15.112,15.112,14.299,14.375,14.839,15.318,14.626,14.276,20.829,15.036,15.036,14.383,14.253,17.522,25.458,32.49,25.246,51.418,54.17,58.929,59.066,59.066,59.75,26.576,23.117,15.052,14.854,14.094,14.078,14.702,22.699,14.641,14.139,19.05,17.15,14.284,38.609,40.989,19.537,22.76,25.572,33.661,16.359,16.572,23.398,23.398,25.664,25.785,26.317,26.105,26.105,25.588,25.785,25.785,26.31,33.995,32.992,31.578,19.058,26.272,26.188,32.49,26.758,26.713,25.892,25.162,25.147,25.086,36.565,24.333,24.827,24.888,24.174,24.174,25.36
5,4.169,4.056,3.673,3.7,3.66,1.599,3.66,2.411,3.065,2.325,2.795,2.325,1.81,1.533,1.506,1.519,1.493,1.533,2.193,2.306,1.856,1.519,1.506,1.506,1.506,1.493,1.519,1.467,2.18,2.286,1.85,1.493,1.559,1.559,1.513,1.5,1.493,1.48,1.5,2.008,2.603,2.405,1.718,1.586,1.586,1.42,1.387,1.427,2.193,2.207,1.559,1.434,1.275,1.229,1.202,1.242,1.46,2.821,3.752,3.442,2.477,4.334,4.373,4.565,2.854,1.883,1.691,2.418,2.418,2.378,2.352,1.519,1.519,7.987,8.02,8.02,3.211,1.163,1.15,1.163,1.136,1.15,2.491,2.841,2.761,2.088,1.975,1.962,7.214,8.535,7.756,6.884,9.5,7.188,6.303,6.303
6,0.403,0.382,0.826,1.435,1.353,0.392,0.413,0.403,0.372,0.392,0.413,0.392,0.392,0.496,1.146,1.414,0.991,0.392,0.361,0.392,0.413,0.372,0.413,0.403,0.403,0.413,0.537,1.425,1.394,0.527,0.413,0.372,0.413,0.413,0.413,0.372,0.392,0.392,0.661,4.336,6.608,14,12.926,12.028,12.214,12.007,11.615,10.614,8.59,7.929,8.435,6.845,1.26,0.527,1.012,2.034,1.156,0.279,0.588,0.279,0.878,1.342,1.26,0.578,0.289,0.289,0.248,0.248,0.382,1.353,1.28,1.301,1.301,0.268,0.248,0.248,0.31,0.258,1.291,1.26,0.94,0.258,0.248,0.289,0.248,0.268,0.237,1.043,1.28,6.948,11.801,12.73,10.49,13.711,13.711,3.459
9,3.807,3.008,3.719,21.296,36.875,4.315,25.208,5.388,15.547,5.102,7.196,5.435,4.156,6.244,4.15,5.505,4.893,5.426,2.989,5.927,5.441,4.023,5.94,4.353,4.353,5.759,4.156,5.41,4.528,5.727,4.055,4.474,5.759,5.759,5.092,5.188,3.991,5.41,4.775,2.316,3.738,1.333,0.952,1.095,0.863,1.063,1.063,1.809,1.333,1.244,0.508,0.761,0.841,0.841,0.374,0.374,1.142,0.549,0.365,0.365,0.562,0.641,0.374,0.698,0.365,0.952,0.952,1.402,0.946,0.946,1.053,0.571,0.381,1.19,0.403,0.381,1.231,0.374,0.381,1.237,0.374,1.222,0.355,0.381,0.374,1.095,0.365,0.999,0.577,0.355,0.355,0.355,0.374,1.133,0.365,1.126
10,10.157,10.157,3.702,3.153,2.101,2.774,1.824,2.703,1.482,1.986,2.186,2.311,2.186,4.162,10.766,8.249,9.947,3.935,5.985,2.395,2.324,2.324,1.881,1.042,1.012,1.14,1.421,1.259,1.516,4.588,4.588,5.319,4.277,3.302,4.124,3.329,3.356,2.967,2.933,2.933,5.173,11.22,10.861,10.861,6.469,7.038,7.038,4.311,3.668,3.478,7.548,7.904,7.904,3.12,1.056,2.94,2.94,2.179,2.927,4.845,0.778,0.765,0.88,0.88,3.647,3.512,3.241,3.241,5.562,6.513,6.791,8.229,9.863,10.448,11.25,8.533,8.235,6.645,4.185,3.877,6.236,2.598,2.209,1.58,3.201,4.192,3.905,3.905,2.815,1.651,0.592,0.724,0.711,0.372,0.359,0.582
11,2.941,2.447,3.461,4.036,2.772,1.515,4.246,2.447,3.376,2.121,2.123,3.567,1.613,1.537,4.283,2.376,4.083,3.552,4.25,2.475,3.881,2.775,2.417,2.999,4.076,3.805,1.656,3.495,4.358,2.251,1.659,3.833,1.59,2.997,2.674,3.396,2.798,1.869,3.364,4.342,2.72,2.025,3.863,4.275,1.822,3.996,3.624,2.946,1.725,3.796,3.488,4.375,3.902,2.923,3.239,2.885,3.157,1.661,1.609,2.485,2.266,4.213,1.68,1.824,2.572,2.334,3.083,3.283,2.168,4.094,1.97,3.441,3.575,2.815,3.198,2.605,1.762,4.063,3.383,3.819,4.06,4.157,2.785,2.363,4.145,1.724,2.972,3.99,1.51,2.433,3.326,1.625,2.719,2.274,2.629,1.798
12,3.346,1.584,7.55,7.625,7.193,7.248,6.425,7.426,3.614,3.984,5.136,1.68,1.694,6.686,5.828,5.842,3.655,0.501,0.665,0.453,0.459,0.542,0.453,0.487,0.487,0.405,0.555,0.295,0.391,0.597,0.288,0.391,0.432,0.432,0.418,0.85,0.528,0.514,0.507,0.357,0.514,0.357,0.405,0.384,0.315,0.254,0.254,0.37,0.583,0.576,0.638,0.583,0.967,0.967,2.263,1.385,1.682,1.659,1.303,0.939,1.082,0.802,0.665,0.706,0.912,0.912,5.828,2.688,0.837,0.837,0.638,0.905,3.161,6.288,5.89,5.472,3.47,3.6,3.518,2.695,5.41,1.625,7.316,6.158,3.717,1.536,1.701,1.701,1.694,0.61,0.61,0.48,0.549,0.576,0.747,0.747
13,11.581,5.929,15.457,10.396,12.875,16.107,15.302,10.764,15.392,10.511,15.176,5.914,7.057,8.036,6.232,13.429,14.081,10.302,13.764,13.585,11.437,8.999,8.049,9.563,14.365,9.165,15.548,14.194,12.579,12.242,7.549,16.348,7.062,7.998,16.287,6.973,13.184,7.107,9.925,14.545,11.415,11.613,16.254,15.809,8.382,12.569,11.003,13.586,16.816,8.341,10.231,16.342,16.577,5.918,13.847,8.316,8.217,8.032,15.504,12.31,7.636,13.792,15.076,7.882,6.912,11.539,15.439,12.085,9.989,7.736,14.276,14.602,15.273,7.165,15.541,6.627,7.058,9.268,10.291,12.847,6.448,6.832,6.846,12.529,8.425,13.896,15.299,13.926,16.152,16.524,12.596,12.772,16.875,8.497,11.099,7.231
14,12.495,10.844,16.42,14.045,8.54,8.806,10.872,11.712,17.642,15.464,10.684,13.588,9.592,7.404,9.231,9.129,17.527,18.082,16.656,10.879,7.698,13.793,12.712,14.979,11.803,15.567,16.509,6.578,11.834,10.902,12.265,16.194,13.315,13.011,14.623,13.92,7.97,15.086,14.112,7.938,7.983,16.845,12.497,17.715,10.375,8.421,8.793,8.929,11.345,6.52,16.968,6.94,15.354,17.768,13.595,18.421,14.03,17.823,10.644,18,11.07,17.254,16.155,17.659,9.104,16.408,10.606,18.532,9.559,13.357,8.186,14.284,9.264,8.361,13.249,17.952,7.045,10.691,11.055,18.625,9.223,17.776,8.475,18.55,11.067,14.47,10.963,14.967,16.129,6.969,14.973,10.709,6.82,9.247,12.718,12.547
