2,0.19,0,0,0.271,0.732,0,0,0.254,0,0.795,0,0,0,0,0,0,0.822,0.262,0,15.875,0,0,0.028,0.994,0.994,0,0,0,0,0,0.84,0.271,0,0,0,0,0,0.469,0.669,0,0,0,0,0,0,0.678,0.515,0,1.373,14.429,0,0,0,0.777,0.407,0,0,0,0,0,0.09,1.003,0.118,0,0,0,0,0.362,0.85,0,0,0,0,0,0,0,0.433,0,15.242,0,0,0,0.362,0.795,0,0,0,0,0,0.876,0.316,0,0,0,0,0
3,1.316,7.85,12.04,1.458,1.458,1.092,1.118,1.079,1.129,1.102,1.108,1.079,1.392,1.108,1.086,1.074,1.079,0.58,6.491,0.74,0.575,0.58,0.58,0.878,0.878,0.658,0.63,0.619,0.198,0.104,0.11,0.46,0.209,0.209,0.11,0.11,0.685,0.593,0.58,1.058,1.074,2.949,1.99,1.776,1.481,3.558,2.385,1.458,1.486,1.481,1.688,2.056,2.022,2.017,1.865,1.468,2.095,1.985,1.821,6.316,4.42,1.468,1.925,12.363,22.46,14.791,14.791,23.75,17.927,23.432,11.25,11.25,12.719,16.755,16.755,9.846,12.774,17.379,11.951,15.843,9.375,10.175,9.803,13.069,2.972,10.088,2.774,2.795,9.216,3.158,2.829,10.844,6.031,7.604,7.604,8.613
4,-0.905,-0.811,-1.895,-0.839,-1.345,-0.779,-0.821,-0.826,-0.756,-0.817,-0.734,-0.736,-0.775,-0.865,-0.83,-1.539,-0.85,-0.794,-0.857,-1.191,-1.268,-1.233,-1.233,-1.167,-1.173,-1.211,-1.25,-1.193,-1.165,-1.699,-1.227,-1.227,-1.174,-1.163,-1.43,-2.077,-2.651,-2.06,-4.195,-4.42,-4.808,-4.819,-4.819,-4.875,-2.168,-1.886,-1.228,-1.212,-1.15,-1.149,-1.2,-1.852,-1.195,-1.154,-1.554,-1.399,-1.165,-3.15,-3.344,-1.594,-1.857,-2.086,-2.746,-1.335,-1.352,-1.909,-1.909,-2.094,-2.104,-2.147,-2.13,-2.13,-2.088,-2.104,-2.104,-2.147,-2.773,-2.692,-2.576,-1.555,-2.144,-2.137,-2.651,-2.183,-2.179,-2.113,-2.053,-2.052,-2.047,-2.983,-1.985,-2.026,-2.031,-1.972,-1.972,-2.069
5,0.878,0.854,0.773,0.779,0.77,0.337,0.77,0.508,0.645,0.49,0.588,0.49,0.381,0.323,0.317,0.32,0.314,0.323,0.462,0.485,0.391,0.32,0.317,0.317,0.317,0.314,0.32,0.309,0.459,0.481,0.389,0.314,0.328,0.328,0.318,0.316,0.314,0.311,0.316,0.423,0.548,0.506,0.362,0.334,0.334,0.299,0.292,0.3,0.462,0.465,0.328,0.302,0.268,0.259,0.253,0.261,0.307,0.594,0.79,0.725,0.522,0.912,0.921,0.961,0.601,0.396,0.356,0.509,0.509,0.501,0.495,0.32,0.32,1.682,1.689,1.689,0.676,0.245,0.242,0.245,0.239,0.242,0.524,0.598,0.581,0.439,0.416,0.413,1.519,1.797,1.633,1.449,2,1.513,1.327,1.327
6,0.27,0.255,0.553,0.96,0.906,0.263,0.277,0.27,0.249,0.263,0.277,0.263,0.263,0.331,0.767,0.947,0.664,0.263,0.242,0.263,0.277,0.249,0.277,0.27,0.27,0.277,0.359,0.954,0.934,0.353,0.277,0.249,0.277,0.277,0.277,0.249,0.263,0.263,0.443,2.904,4.424,9.375,8.655,8.054,8.179,8.041,7.778,7.107,5.752,5.31,5.648,4.584,0.843,0.353,0.677,1.362,0.774,0.186,0.394,0.186,0.588,0.899,0.843,0.387,0.194,0.194,0.166,0.166,0.255,0.906,0.857,0.871,0.871,0.18,0.166,0.166,0.207,0.173,0.865,0.843,0.629,0.173,0.166,0.194,0.166,0.18,0.16,0.698,0.857,4.653,7.902,8.524,7.025,9.181,9.181,2.316
9,2.141,1.692,2.093,11.983,20.75,2.427,14.185,3.029,8.747,2.869,4.047,3.058,2.338,3.512,2.333,3.097,2.753,3.053,1.683,3.334,3.061,2.264,3.344,2.451,2.451,3.241,2.338,3.044,2.549,3.221,2.28,2.518,3.241,3.241,2.866,2.919,2.244,3.044,2.686,1.303,2.103,0.749,0.535,0.617,0.487,0.598,0.598,1.018,0.749,0.701,0.286,0.427,0.473,0.473,0.209,0.209,0.643,0.307,0.206,0.206,0.317,0.362,0.209,0.394,0.206,0.535,0.535,0.79,0.531,0.531,0.593,0.322,0.214,0.67,0.228,0.214,0.691,0.209,0.214,0.696,0.209,0.687,0.202,0.214,0.209,0.617,0.206,0.562,0.326,0.202,0.202,0.202,0.209,0.639,0.206,0.634
10,6.546,6.546,2.385,2.032,1.354,1.788,1.175,1.742,0.955,1.28,1.409,1.489,1.409,2.682,6.938,5.316,6.411,2.536,3.857,1.544,1.498,1.498,1.212,0.672,0.652,0.735,0.916,0.811,0.977,2.957,2.957,3.428,2.756,2.128,2.658,2.146,2.163,1.912,1.89,1.89,3.334,7.231,6.999,6.999,4.169,4.536,4.536,2.778,2.364,2.242,4.865,5.094,5.094,2.01,0.68,1.895,1.895,1.404,1.886,3.123,0.501,0.493,0.567,0.567,2.351,2.263,2.089,2.089,3.585,4.197,4.376,5.303,6.356,6.733,7.25,5.499,5.307,4.283,2.697,2.499,4.019,1.675,1.424,1.018,2.063,2.702,2.516,2.516,1.814,1.064,0.382,0.467,0.458,0.24,0.231,0.375
11,0.987,0.467,2.228,2.25,2.122,2.139,1.896,2.191,1.066,1.176,1.515,0.496,0.5,1.973,1.72,1.724,1.078,0.148,0.196,0.134,0.135,0.16,0.134,0.144,0.144,0.119,0.164,0.087,0.115,0.176,0.085,0.115,0.128,0.128,0.124,0.251,0.156,0.152,0.15,0.105,0.152,0.105,0.119,0.113,0.093,0.075,0.075,0.109,0.172,0.17,0.188,0.172,0.285,0.285,0.668,0.409,0.496,0.49,0.384,0.277,0.319,0.237,0.196,0.208,0.269,0.269,1.72,0.793,0.247,0.247,0.188,0.267,0.933,1.856,1.738,1.615,1.024,1.062,1.038,0.795,1.596,0.48,2.159,1.817,1.097,0.453,0.502,0.502,0.5,0.18,0.18,0.142,0.162,0.17,0.221,0.221
12,1.345,1.315,1.524,1.244,1.541,1.511,1.663,1.955,1.867,1.126,1.448,1.315,0.836,1.252,1.669,0.676,1.443,1.529,1.013,0.988,1.744,1.344,0.859,0.894,1.432,0.904,1.984,0.796,0.827,1.589,0.952,1.879,1.039,0.679,0.885,0.927,1.222,0.776,1.428,1.671,1.415,1.714,1.659,0.763,1.753,1.016,1.761,1.562,1.491,0.982,0.744,0.955,1.537,1.961,0.877,1.513,1.972,1.558,1.698,1.718,1.235,1.765,1.202,1.874,1.31,1.647,0.744,1.485,0.99,1.275,1.974,0.852,1.913,1.97,1.848,1.868,1.493,1.723,1.994,0.738,1.313,1.924,1.57,1.287,1.775,1.511,1.767,1.976,1.118,1.352,1.786,1.047,2,0.773,0.814,0.875
13,4.957,6.678,3.954,5.116,4.078,3.962,2.808,4.993,4.54,5.885,2.641,4.585,7.113,5.177,5.51,4.646,5.071,7.178,7.153,3.818,4.926,2.965,6.867,6.48,7.226,4.1,2.737,6.645,5.354,6.381,3.964,2.538,4.953,4.461,6.41,4.765,4.363,3.422,6.085,4.499,5.595,3.583,3.201,5.952,6.635,6.011,5.995,2.92,3.758,4.731,7.073,3.078,2.885,5.715,5.219,5.094,6.826,5.627,7.123,3.548,3.941,5.256,5.322,2.553,4.695,3.152,2.598,5.782,6.052,5.573,6.114,4.833,6.522,4.164,4.918,5.236,4.12,3.121,5.208,3.328,5.762,5.375,4.749,6.02,7.25,4.721,4.591,6.082,6.98,4.249,6.225,3.729,3.379,6.296,5.187,3.58
14,4.191,2.205,3.96,3.506,5.171,2.275,3.631,6.114,3.177,5.483,5.244,5.594,2.887,4.407,6.25,2.738,2.554,6.03,2.313,4.889,2.21,4.514,4.743,5.912,4.54,4.999,4.736,3.202,2.762,3.082,2.779,2.59,3.795,3.346,3.928,6.248,5.455,5.555,5.287,5.605,3.228,5.523,4.933,2.323,2.822,2.45,4.321,2.507,2.824,2.184,5.449,2.494,2.873,4.973,3.653,2.271,3.266,2.625,2.989,3.628,3.92,2.811,2.814,2.244,3.311,3.219,5.324,3.984,3.775,4.449,5.607,3.544,2.597,2.207,3.95,2.92,4.659,3.468,4.14,5.911,4.398,4.286,4.047,4.623,3.166,5.724,2.453,4.194,3.712,3.206,4.982,5.577,4.306,5.978,2.516,6.232
